CIRCUITO,PLANTA_ORIGEN,DESTINO,NOMBRE_TIPO_CAMION,frecuencia_registros,tiempo_programacion_mediano_h,tiempo_programacion_promedio_h,tiempo_programacion_std_h,tiempo_transito_mediano_h,tiempo_transito_promedio_h,tiempo_transito_std_h,tiempo_transito_iqr_h,peso_promedio,peso_mediano,peso_bruto_promedio,ancho_promedio,espesor_promedio,proporcion_linea_critica,proporcion_viaje_incompleto,proporcion_anomalia_tiempo,frecuencia_viajes,participacion_total,material_pesado,material_ancho,score_prioridad,TDA_VALIDO,TDA_N_PUNTOS,H0_N_FEATURES,H0_MAX_PERS,H0_MEAN_PERS,H0_SUM_PERS,H0_STD_PERS,H0_TOP1_PERS,H0_TOP2_PERS,H0_TOP3_PERS,H1_N_FEATURES,H1_MAX_PERS,H1_SUM_PERS,LANDSCAPE_01,LANDSCAPE_02,LANDSCAPE_03,LANDSCAPE_04,LANDSCAPE_05,LANDSCAPE_06,LANDSCAPE_07,LANDSCAPE_08,LANDSCAPE_09,LANDSCAPE_10,LANDSCAPE_11,LANDSCAPE_12,LANDSCAPE_13,LANDSCAPE_14,LANDSCAPE_15
Churubusco -> Bodega Smart Logistic | Plataforma 3 ejes Neumática,Churubusco,Bodega Smart Logistic,Plataforma 3 ejes Neumática,402,,,,14.616666666666667,16.424242424242422,11.03199479200879,2.883333333333333,7.334713930348259,6.952500000000001,7.346619402985074,963.0767661691542,0.5710557213930348,0.0,0.0,0.0024875621890547,97,0.0015648694866582,0,0,0.021692450547926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad -> Pesquería | Plataforma 3 ejes Neumática BIG COIL,Universidad,Pesquería,Plataforma 3 ejes Neumática BIG COIL,116,,,,2.783333333333333,5.233501683501683,6.0552302568467615,5.633333333333333,14.946146551724135,15.715,14.960956896551725,1014.2689655172412,1.146653448275862,0.0344827586206896,0.0,0.0172413793103448,55,0.0008872971316103,1,0,0.0210342902304648,1,52.0,51.0,4.522027015686035,1.0581005535581534,53.96312823146582,0.7443766899110352,4.522027015686035,2.221142292022705,2.1721761226654053,13.0,0.6336894035339355,2.400270938873291,0.0,0.75,1.5,2.25,1.5220270156860352,0.0,0.75,0.7211422920227051,0.0,0.0,0.0,0.75,0.6721761226654053,0.0,0.0
Universidad -> Planos Guerrero | Plataforma 3 ejes Neumática,Universidad,Planos Guerrero,Plataforma 3 ejes Neumática,985,705.1666666666667,705.1666666666667,1.943745906271717,0.1666666666666666,2.6991209185504124,9.307709598971046,0.2,11.649387817258884,10.695,11.665841624365482,1092.995157360406,1.4340156345177666,0.0,0.0,0.0335025380710659,346,0.0055819055915851,0,0,0.02092588226112,1,300.0,299.0,2.724425792694092,0.6346757428901252,189.76804712414742,0.3825307258193097,2.724425792694092,2.372457981109619,2.3373188972473145,131.0,0.7436008453369141,18.7731936275959,0.0,0.75,1.2244257926940918,0.4744257926940918,0.0,0.0,0.75,0.8724579811096191,0.12245798110961914,0.0,0.0,0.75,0.8373188972473145,0.08731889724731445,0.0
Pesquería -> Bodega del Toro | Plataforma 3 Ejes Neumática Corta,Pesquería,Bodega del Toro,Plataforma 3 Ejes Neumática Corta,155,,,,4.966666666666667,8.741726618705036,14.150261654389436,6.1,11.03516129032258,9.72,11.04201935483871,1155.1669032258064,1.1558309677419354,0.0,0.0,0.064516129032258,50,0.0008066337560094,0,0,0.0207960364081802,1,44.0,43.0,2.802879810333252,1.1941466269104979,51.34830495715141,0.5917178039562356,2.802879810333252,2.6710000038146973,2.431952476501465,12.0,0.4484051465988159,1.4990708231925964,0.0,0.75,1.302879810333252,0.552879810333252,0.0,0.0,0.75,1.1710000038146973,0.42100000381469727,0.0,0.0,0.75,0.9319524765014648,0.18195247650146484,0.0
Universidad -> Bodega Aceromex | Plataforma 3 Ejes Neumática Corta,Universidad,Bodega Aceromex,Plataforma 3 Ejes Neumática Corta,43,,,,17.266666666666666,15.309420289855073,5.147799927454929,1.8000000000000007,5.135697674418605,4.989,5.148139534883721,992.5682093023256,0.7148651162790698,0.0,0.0,0.0,9,0.0001451940760816,0,0,0.0207565980449118,1,9.0,8.0,3.328644275665283,1.997942715883255,15.98354172706604,0.6711235602129829,3.328644275665283,2.213134765625,2.2026493549346924,1.0,0.0015230178833007812,0.0015230178833007812,0.0,0.75,1.5,1.0786442756652832,0.3286442756652832,0.0,0.75,0.713134765625,0.0,0.0,0.0,0.75,0.7026493549346924,0.0,0.0
Churubusco -> Bodega Smart Logistic | Plataforma 3 ejes Neumática Cortina,Churubusco,Bodega Smart Logistic,Plataforma 3 ejes Neumática Cortina,100,,,,16.366666666666667,16.366666666666667,,0.0,6.99698,6.8,7.00871,891.2263,0.56421,0.0,0.0,0.0,25,0.0004033168780047,0,0,0.0203424293142488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventud -> Puerto Altamira | Plataforma 3 ejes Neumática,Juventud,Puerto Altamira,Plataforma 3 ejes Neumática,2143,336.6333333333333,400.180187416332,254.9736715362339,1.2666666666666666,1.8974358974358971,1.2122034985666892,2.6833333333333327,6.762846943537098,6.475,6.825726084927672,1218.5870275314978,0.509236817545497,0.0,0.0,0.0,461,0.0074371632304068,0,0,0.0201871256168486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesquería -> Plesa Anahuac | Plataforma 3 ejes Neumática BIG COIL,Pesquería,Plesa Anahuac,Plataforma 3 ejes Neumática BIG COIL,147,695.75,695.75,,11.25,11.25,,0.0,28.793748299319724,29.995,28.795217687074828,1688.8149659863946,9.722157142857142,0.0,0.0,0.0,146,0.0023553705675475,1,1,0.0192056527596261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSI Apodaca -> Bodega Smart Logistic | Plataforma 3 ejes Neumática,CSI Apodaca,Bodega Smart Logistic,Plataforma 3 ejes Neumática,320,,,,15.166666666666666,15.733333333333333,1.7897159923667594,0.0,2.94428125,3.3165,2.953271875,737.73415625,0.5350937499999999,0.0,0.0,0.0,31,0.0005001129287258,0,0,0.0191685155088064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad -> Bodega del Toro | Plataforma 3 ejes Neumática BIG COIL,Universidad,Bodega del Toro,Plataforma 3 ejes Neumática BIG COIL,27,,,,1.7333333333333334,5.139333333333334,11.107187029293408,1.9166666666666663,14.708333333333334,15.13,14.710555555555556,1015.7407407407408,0.8485592592592593,0.0,0.0,0.074074074074074,13,0.0002097247765624,1,0,0.0173889414378128,1,11.0,10.0,2.835028648376465,2.0046165585517883,20.046165585517883,0.4679206216828254,2.835028648376465,2.5345423221588135,2.4695820808410645,0.0,0.0,0.0,0.0,0.75,1.3350286483764648,0.5850286483764648,0.0,0.0,0.75,1.0345423221588135,0.2845423221588135,0.0,0.0,0.75,0.9695820808410645,0.21958208084106445,0.0
